day,customer_id,total_sales
2022-03-13,734,121.65
2021-04-15,54401,103.92
2022-04-17,60427,127.38
2021-01-30,24451,190.76
2023-04-14,60251,115.55
2023-03-31,1813,215.64
2023-02-20,23014,161.43
2021-06-27,39317,144.64
2022-08-21,4611,158.06
2022-11-14,3142,197.2
2021-10-29,28602,157.67
2023-02-22,19419,113.12
2022-02-16,41637,193.28
2022-01-02,48662,121.45
2021-05-15,469,170.67
2022-08-17,6347,160.7
2023-01-27,58860,192.74
2022-10-21,45774,177.69
2022-06-10,62461,184.06
2022-04-04,43683,106.35
2022-12-13,20130,186.79
2022-03-16,65043,177.22
2021-12-12,5902,68.39
2021-05-20,46269,189.43
2021-12-24,52896,166.11
2022-07-08,35481,165.02
2022-09-05,12153,197.62
2022-06-19,24755,68.15
2022-03-10,18010,169.94
2021-05-15,25971,144.72
2022-03-14,62721,102.22
2021-11-08,63249,151.74
2023-03-16,28738,85.81
2023-01-25,64413,187.14
2021-10-23,11277,208.5
2022-02-12,59096,146.18
2022-10-02,28448,174.95
2022-12-10,30503,78.47
2022-10-13,22769,201.32
2022-01-05,38645,122.5
2021-01-30,19523,130.91
2022-07-13,44082,159.83
2022-09-28,8958,129.71
2022-01-19,47774,218.02
2022-08-27,7825,107.28
2023-04-04,37309,133.34
2022-09-10,61849,161.86
2021-08-16,29245,130.0
2022-01-11,18564,148.05
2023-04-05,37456,109.11
2022-05-06,38261,152.32
2022-10-18,300,154.59
2022-12-31,17709,90.74
2022-10-03,53903,216.0
2022-03-13,32741,185.95
2023-04-27,22588,215.71
2021-02-22,7770,174.57
2021-06-17,54034,70.02
2022-07-19,9429,147.39
2022-03-30,36424,202.61
2022-03-18,31809,79.88
2022-03-26,13189,63.98
2021-03-20,26616,123.19
2021-01-20,45677,186.3
2023-02-05,46444,121.42
2022-11-17,42930,174.06
2023-03-17,63723,163.08
2022-07-17,43577,149.55
2022-04-03,20996,161.8
2022-07-05,9131,118.91
2021-09-01,39366,194.22
2021-06-21,34070,203.68
2022-09-03,32509,65.21
2023-01-28,31461,77.83
2022-04-22,55916,94.2
2022-09-11,62386,95.21
2022-01-10,65102,149.6
2021-12-30,11835,157.31
2021-09-06,39535,197.63
2022-04-05,55311,64.88
2021-06-08,34247,87.0
2022-08-30,114,170.75
2021-04-06,28041,133.28
2021-04-14,19795,175.43
2021-11-16,49636,69.62
2021-09-07,12548,129.96
2021-06-03,46531,155.29
2023-03-29,41081,70.88
2021-07-30,20178,123.79
2021-12-21,50366,157.55
2021-06-11,35387,158.93
2021-05-21,19587,153.97
2022-07-13,24641,177.62
2021-03-27,36442,125.15
2021-04-25,41871,165.47
2021-08-19,3863,198.87
2023-02-04,3855,75.66
2022-04-27,46956,167.35
2022-11-16,1679,174.25
2021-12-05,29028,189.88
2021-08-22,52848,112.36
2022-06-02,29257,199.86
2023-04-05,54584,205.73
2021-09-26,18964,123.75
2022-08-30,59849,180.53
2021-08-25,14929,217.26
2021-08-23,32212,109.55
2022-12-01,55013,194.1
2021-03-08,42427,165.4
2022-10-14,21417,141.84
2022-09-11,46773,101.81
2021-06-28,30715,139.94
2021-12-21,42096,176.03
2022-06-12,48379,189.41
2021-02-09,60273,201.58
2022-01-20,38564,207.03
2021-09-27,55100,121.57
2023-01-18,31551,82.82
2021-04-11,2042,90.9
2022-12-11,25428,94.96
2023-04-08,63463,169.76
2022-01-15,35777,218.18
2022-08-26,52011,189.36
2021-03-04,5090,63.42
2021-05-11,29437,212.38
2021-03-29,6447,90.77
2021-07-22,14723,211.87
2021-08-26,25876,96.92
2022-04-10,27152,70.4
2022-09-23,16153,120.18
2023-03-27,53625,79.41
2022-04-06,59246,63.85
2022-11-05,40703,158.93
2021-01-10,1961,68.03
2022-06-12,15642,215.11
2022-01-17,19742,129.15
2022-08-15,1968,77.88
2021-08-07,46663,158.03
2021-02-24,24911,141.95
2022-10-12,31088,203.82
2022-04-24,11720,160.52
2021-05-16,43023,165.54
2022-02-03,53585,199.73
2022-10-06,12199,165.12
2022-03-30,1018,183.39
2022-09-08,49853,172.82
2023-04-23,44360,196.28
2021-01-21,52358,100.48
2022-04-08,48446,97.01
2022-01-11,48759,185.44
2022-03-12,54603,209.97
2021-12-02,31396,207.14
2022-01-27,45899,69.79
2022-01-07,30721,173.49
2023-01-03,19699,162.81
2023-04-08,31300,195.27
2021-10-13,29203,191.44
2023-03-31,6392,157.4
2022-01-20,35921,187.95
2021-02-07,33273,206.5
2021-07-16,23024,64.17
2023-02-23,36271,156.89
2022-05-09,11639,150.22
2021-05-22,18372,162.0
2022-08-20,60084,209.77
2022-11-25,5535,123.25
2021-07-02,32719,188.49
2022-06-09,27706,141.67
2022-05-13,60953,101.67
2021-10-28,1050,129.03
2022-09-08,42071,184.3
2021-08-03,15243,132.17
2022-01-14,37089,190.94
2022-02-05,49383,67.67
2021-01-30,14496,150.35
2021-08-11,38061,198.74
2022-07-13,2033,175.97
2022-05-17,38124,139.29
2022-01-17,6255,196.18
2022-11-14,8382,120.5
2023-01-17,6309,144.31
2022-02-05,59796,161.65
2022-12-20,3481,100.41
2023-03-28,58431,115.88
2022-08-07,6662,82.54
2022-07-07,53314,179.83
2023-02-02,57348,175.57
2022-11-22,35736,62.18
2022-04-18,44421,100.37
2022-10-25,20179,144.37
2022-12-08,20287,129.7
2022-11-18,31947,152.1
2023-02-16,6105,82.67
2022-09-29,18650,83.9
2021-02-01,31384,209.42
2022-06-29,5382,129.55
2023-01-11,24562,179.94
2022-06-06,39719,170.05
2022-03-26,42062,73.98
2021-10-26,42333,180.17
2022-05-24,23380,134.22
2021-03-23,28007,118.78
2021-02-20,53648,84.38
2022-07-21,22077,213.22
2023-03-18,39549,195.82
2022-10-08,47836,89.93
2021-09-24,14602,85.32
2023-02-23,39634,143.77
2021-09-29,12047,198.09
2021-10-17,51042,197.62
2021-06-07,29494,111.24
2021-09-21,19415,88.44
2021-06-11,12241,132.15
2022-09-19,45819,142.89
2021-09-02,53625,83.36
2021-09-01,36606,173.41
2022-04-29,10762,196.33
2022-02-22,29495,121.44
2022-01-25,36523,80.82
2022-03-31,47006,208.24
2021-07-28,34790,116.2
2023-04-03,19707,180.84
2021-02-05,2343,107.31
2021-12-27,50353,106.28
2023-03-20,41331,207.06
2021-12-14,35767,208.84
2023-02-25,62973,97.94
2023-01-04,61123,207.82
2021-03-12,32365,100.66
2022-07-03,6143,134.84
2021-06-26,2730,65.07
2021-05-03,47982,208.68
2022-02-02,53029,165.2
2023-04-10,15107,206.31
2022-07-08,21599,75.96
2022-06-14,48616,215.3
2022-09-11,16003,85.46
2021-06-10,25045,71.56
2021-01-31,2592,70.34
2021-11-18,48613,131.84
2023-02-26,33539,91.29
2021-03-17,44190,208.59
2022-03-01,30024,64.62
2021-05-07,38892,203.03
2021-07-06,26302,109.91
2021-10-08,51827,167.12
2021-07-17,15326,92.65
2023-01-18,32980,171.73
2022-03-26,39731,201.25
2022-09-24,36156,86.07
2022-03-02,43805,130.59
2022-05-08,27593,151.49
2021-10-31,61766,104.25
2021-02-08,20622,168.16
2022-02-08,17228,116.5
2021-11-09,8812,151.34
2021-08-19,28344,125.46
2022-06-29,12122,214.53
2021-12-28,21318,188.55
2022-12-17,29769,82.45
2023-03-23,14244,201.17
2022-09-14,11267,129.71
2022-10-11,2164,122.44
2021-02-27,60705,136.57
2022-08-02,34239,93.67
2021-02-04,53677,190.11
2022-02-07,18619,150.47
2022-07-19,9876,135.97
2021-07-06,32029,137.66
2022-03-02,6889,85.09
2021-04-17,61878,131.81
2023-03-21,60892,174.0
2021-06-22,5124,124.64
2022-08-06,13850,103.88
2021-07-16,2344,101.02
2023-01-16,3522,130.04
2021-08-16,47188,91.63
2021-05-09,24217,201.25
2022-11-06,16374,214.13
2022-02-11,63646,68.41
2022-03-18,50111,160.03
2021-01-14,39368,218.07
2022-07-12,4894,80.85
2021-05-02,31607,180.49
2023-02-19,9039,212.17
2022-08-04,52237,194.27
2023-01-28,43799,119.89
2021-08-27,15427,201.74
2022-05-24,6145,172.3
2022-08-20,60055,209.72
2023-03-03,18048,123.63
2022-01-02,55888,142.92
2022-03-17,58901,158.73
2022-10-16,38760,92.79
2021-02-14,23639,186.31
2022-01-20,35554,103.15
2023-01-08,36303,64.33
2022-09-28,13380,143.81
2021-05-14,4848,106.87
2021-06-02,36621,203.25
2021-07-20,15195,81.37
2022-12-17,10802,202.83
2022-11-13,4220,124.14
2021-07-03,46597,82.0
2021-01-20,27053,192.55
2021-03-01,38819,198.73
2023-04-11,9209,149.77
2021-01-12,9877,178.94
2022-05-09,21995,100.05
2021-10-20,28854,178.16
2022-07-06,36492,163.8
2022-01-27,29513,182.66
2021-10-21,64364,64.42
2022-08-07,6577,84.62
2022-04-04,24169,107.45
2021-10-08,3259,124.26
2021-07-01,53826,202.08
2021-03-09,180,73.54
2023-01-30,42119,146.61
2021-04-04,8133,137.38
2021-01-12,46295,86.65
2021-11-22,36663,212.54
2021-05-29,25478,134.35
2023-03-13,5466,191.37
2022-03-13,23210,98.3
2022-07-16,44257,109.07
2021-07-06,59824,200.46
2022-04-02,42367,161.32
2021-06-27,56867,98.71
2021-12-20,42212,88.42
2022-05-06,36489,166.41
2023-01-13,20102,166.7
2021-01-09,20831,112.24
2021-10-03,21369,95.1
2022-02-01,39753,62.65
2021-09-26,26749,84.41
2021-03-26,33550,115.7
2021-07-27,55727,203.62
2021-06-04,18342,191.53
2021-03-14,54465,137.12
2023-01-31,43274,200.66
2023-01-05,53400,148.28
2021-09-19,4827,117.44
2023-02-25,21222,125.61
2021-07-08,14416,86.5
2021-04-21,9597,110.76
2022-09-10,46112,162.82
2021-10-21,23920,71.05
2021-05-07,26342,151.29
2022-11-19,33432,146.71
2021-12-11,51931,125.22
2021-04-13,17453,98.98
2021-07-14,7410,102.03
2022-05-02,60396,201.45
2021-08-28,11665,156.38
2021-01-17,61283,213.07
2022-07-07,24060,173.61
2022-04-16,62779,174.51
2022-02-02,43908,74.99
2021-07-25,8809,181.91
2021-11-10,51758,215.98
